Dataset,n_estimators,max_depth,MAPE,RMSE,MAE,R2,Time(s)
ISO-NE,7,3,1.8125046724633342,316.0967653864186,243.32727317601606,0.975928544998169,0.3952298164367676
ISO-NE,7,4,1.6859261096308575,292.6807496139623,226.213212143528,0.9793628454208374,0.4893198013305664
ISO-NE,7,5,1.5845581294608932,275.9487436203564,212.87535086876707,0.981654942035675,0.5159127712249756
ISO-NE,7,6,1.426482539771308,250.19964550575708,192.23403880635246,0.9849188327789307,0.730405330657959
ISO-NE,7,7,1.4386899539312836,254.6633058362817,195.02359759221312,0.9843758940696716,1.1807835102081299
ISO-NE,7,8,1.3360648003107838,241.84350382276716,180.32272922536714,0.9859093427658081,3.2253875732421875
ISO-NE,8,3,1.8123012229986717,315.9923142133252,243.22310784345117,0.975944459438324,0.42694854736328125
ISO-NE,8,4,1.6938886006142677,293.735524992739,227.33249284921447,0.9792138338088989,0.5392019748687744
ISO-NE,8,5,1.5666297404834113,273.69358686845965,210.73371595372268,0.9819535613059998,0.6046099662780762
ISO-NE,8,6,1.452341122977538,252.91580055137382,195.76296346695696,0.9845895767211914,0.823549747467041
ISO-NE,8,7,1.4231457174265842,253.86544350950842,193.14862160604508,0.9844736456871033,1.3288028240203857
ISO-NE,8,8,1.3412915464585278,242.51756820310467,181.6399199272114,0.9858307242393494,3.410252332687378
ISO-NE,9,3,1.8118382821903045,316.01601172751856,243.22320456582992,0.9759408235549927,0.44092345237731934
ISO-NE,9,4,1.6883422937900474,293.0976286802278,226.56699258773054,0.9793040156364441,0.5432791709899902
ISO-NE,9,5,1.5394025753560512,272.39292887460897,209.05126019253757,0.9821246862411499,0.8204169273376465
ISO-NE,9,6,1.4504191396238721,252.74338949114252,195.48493932505124,0.9846106171607971,0.9053854942321777
ISO-NE,9,7,1.4209467183804174,252.33908422569948,192.4735994599556,0.9846597909927368,1.4767680168151855
ISO-NE,9,8,1.3242315279013765,240.60678932288704,179.14327852843238,0.9860531091690063,3.8377180099487305
ISO-NE,10,3,1.8121231326610194,315.9644210730607,243.19286308913934,0.975948691368103,0.44207072257995605
ISO-NE,10,4,1.6810770038497471,292.1475952258642,225.50150620090506,0.9794379472732544,0.5542216300964355
ISO-NE,10,5,1.5511626255456932,273.83049839402776,208.8149867657104,0.9819355010986328,0.5608680248260498
ISO-NE,10,6,1.4365995136540375,256.9738898628625,195.1189358403774,0.9840911030769348,1.4665486812591553
ISO-NE,10,7,1.3833209486798161,248.30200496470155,187.2709507342896,0.985146701335907,2.5369913578033447
ISO-NE,10,8,1.3468437714728414,245.87799101407452,182.52631982688695,0.9854353070259094,4.285098075866699
ISO-NE,11,3,1.8116786929074413,315.9932350678447,243.1927436870304,0.9759443402290344,0.3947930335998535
ISO-NE,11,4,1.6794252856185021,291.97359920006284,225.3118736392162,0.9794624447822571,0.5001883506774902
ISO-NE,11,5,1.532230249128973,271.446491207759,208.1619532850922,0.9822486639022827,0.8513731956481934
ISO-NE,11,6,1.4240895601300858,249.62184059239027,191.6405256094177,0.9849883913993835,1.0658862590789795
ISO-NE,11,7,1.3806558778218894,248.07764359931042,186.94189253009733,0.9851735234260559,2.7932724952697754
ISO-NE,11,8,1.3269058643089955,242.60424950333078,179.40024921021174,0.9858205914497375,4.697852611541748
ISO-NE,12,3,1.811909011346526,315.9396120377373,243.16050244941087,0.9759525060653687,0.4498276710510254
ISO-NE,12,4,1.682331057922588,292.3256450842285,225.699385512722,0.979412853717804,0.5552136898040771
ISO-NE,12,5,1.5349957668705838,271.75743105179254,208.48013255635246,0.9822080135345459,0.9372744560241699
ISO-NE,12,6,1.4078113767103098,253.25409043934403,190.36057102224214,0.9845483303070068,1.8512897491455078
ISO-NE,12,7,1.383799848665411,247.94933620334805,186.9065761878842,0.985188901424408,3.0275449752807617
ISO-NE,12,8,1.352686374027322,246.2098974380011,183.0941995922985,0.9853959679603577,5.175663471221924
ISO-NE,13,3,1.8120298521238187,315.89846582958893,243.12604726989412,0.9759587645530701,0.4910895824432373
ISO-NE,13,4,1.64524349467714,283.9085059525775,220.999106818861,0.9805813431739807,0.9836924076080322
ISO-NE,13,5,1.512263964006786,268.8241261727733,205.66521916623975,0.9825900197029114,0.9946866035461426
ISO-NE,13,6,1.4102896005181693,253.61934759601212,190.46654472976434,0.9845037460327148,1.9714348316192627
ISO-NE,13,7,1.373050047620095,247.64860532064623,185.4764404296875,0.9852247834205627,3.536579132080078
ISO-NE,13,8,1.3401626148561947,244.93490541911123,181.45422630101606,0.9855468273162842,5.575127124786377
ISO-NE,14,3,1.8117663822604781,315.9324043132938,243.1415075083248,0.9759535789489746,0.44934511184692383
ISO-NE,14,4,1.6450051780210473,283.9381368297439,220.99172323258196,0.980577290058136,0.9239342212677002
ISO-NE,14,5,1.5455486742769828,274.62456457482256,210.4323677104679,0.9818305969238281,1.0339503288269043
ISO-NE,14,6,1.4246644299411355,255.12186868726909,193.16217074368168,0.9843195676803589,1.974219799041748
ISO-NE,14,7,1.3946903173056409,249.38832666895237,188.6211938076332,0.9850164651870728,3.533989906311035
ISO-NE,14,8,1.348483246299312,244.62356768091198,182.107987534153,0.9855835437774658,5.530148506164551
ISO-NE,15,3,1.8121653702872447,315.91255938655974,243.14142679516735,0.9759566187858582,0.43549084663391113
ISO-NE,15,4,1.6747089388618357,291.5936582493411,224.68935773672303,0.9795158505439758,0.5685951709747314
ISO-NE,15,5,1.5395527769906452,272.6670060603859,208.16259498804644,0.9820886850357056,0.8436684608459473
ISO-NE,15,6,1.441124133404464,255.42119209912363,195.1120211908726,0.9842827916145325,2.4629054069519043
ISO-NE,15,7,1.3765760751486793,244.70780132144534,185.27345751152663,0.9855735898017883,2.5114495754241943
